company_permalink,company_name,company_category_code,company_country_code,company_state_code,company_region,company_city,acquirer_permalink,acquirer_name,acquirer_category_code,acquirer_country_code,acquirer_state_code,acquirer_region,acquirer_city,acquired_at,acquired_month,acquired_quarter,acquired_year,price_amount,price_currency_code,id
/company/vacation-rentals-miami-florida,Vacation Rentals Miami Florida,,,,unknown,,/company/rent-my-vacation-home-com,Rent My Vacation Home USA,ecommerce,USA,SC,Myrtle Beach,Myrtle Beach,2/10/07,2007-02,2007-Q1,2007.0,10000.0,USD,6851
/company/vacation-rentals-myrtle-beach-resorts,Vacation Rentals Myrtle Beach Resorts,,,,unknown,,/company/rent-my-vacation-home-com,Rent My Vacation Home USA,ecommerce,USA,SC,Myrtle Beach,Myrtle Beach,5/7/08,2008-05,2008-Q2,2008.0,12000.0,USD,6852
/company/vacation-rentals-myrtle-beach-south-carolina,Vacation Rentals Myrtle Beach South Carolina,,,,unknown,,/company/rent-my-vacation-home-com,Rent My Vacation Home USA,ecommerce,USA,SC,Myrtle Beach,Myrtle Beach,4/18/08,2008-04,2008-Q2,2008.0,12900.0,USD,6853
/company/vacation-rentals-myrtle-beach-travel-packages,Vacation Rentals Myrtle Beach Travel Packages,,,,unknown,,/company/rent-my-vacation-home-com,Rent My Vacation Home USA,ecommerce,USA,SC,Myrtle Beach,Myrtle Beach,3/17/08,2008-03,2008-Q1,2008.0,1200.0,USD,6854
/company/vacation-rentals-narragansett-rhode-island,Vacation Rentals Narragansett Rhode Island,,,,unknown,,/company/rent-my-vacation-home-com,Rent My Vacation Home USA,ecommerce,USA,SC,Myrtle Beach,Myrtle Beach,2/6/07,2007-02,2007-Q1,2007.0,1659.0,USD,6855
/company/vacation-rentals-new-orleans-louisiana,Vacation Rentals New Orleans Louisiana,,,,unknown,,/company/rent-my-vacation-home-com,Rent My Vacation Home USA,ecommerce,USA,SC,Myrtle Beach,Myrtle Beach,1/10/10,2010-01,2010-Q1,2010.0,5000.0,USD,6856
/company/vacation-rentals-new-york-new-york,Vacation Rentals New York New York,,,,unknown,,/company/rent-my-vacation-home-com,Rent My Vacation Home USA,ecommerce,USA,SC,Myrtle Beach,Myrtle Beach,1/1/08,2008-01,2008-Q1,2008.0,24900.0,USD,6857
/company/vacation-rentals-orlando-florida,Vacation Rentals Orlando Florida,,,,unknown,,/company/rent-my-vacation-home-com,Rent My Vacation Home USA,ecommerce,USA,SC,Myrtle Beach,Myrtle Beach,2/10/08,2008-02,2008-Q1,2008.0,5000.0,USD,6858
/company/vacation-rentals-outer-banks-north-carolina,Vacation Rentals Outer Banks North Carolina,,,,unknown,,/company/rent-my-vacation-home-com,Rent My Vacation Home USA,ecommerce,USA,SC,Myrtle Beach,Myrtle Beach,4/19/02,2002-04,2002-Q2,2002.0,12000.0,USD,6859
/company/vacation-rentals-palm-desert-california,Vacation Rentals Palm Desert California,,,,unknown,,/company/rent-my-vacation-home-com,Rent My Vacation Home USA,ecommerce,USA,SC,Myrtle Beach,Myrtle Beach,5/17/01,2001-05,2001-Q2,2001.0,34567.0,USD,6860
